Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/safeRun;4.0.0;18;3;2;0;0;1;6;0;1;6;54;40;94;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/processResult;4.0.0;8;2;1;0;4;1;1;0;1;5;13;2;15;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/readEntries;4.0.0;16;2;1;0;2;1;6;1;2;6;41;4;45;3;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/addEntry;4.0.0;20;3;2;0;3;1;7;1;1;4;25;26;51;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/doAsyncAddEntry;4.0.0;26;5;5;0;6;2;3;3;1;4;78;42;120;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/safeRun;4.0.0;13;2;1;0;0;1;7;3;1;3;33;0;33;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/readLastConfirmed;4.0.0;9;3;2;0;0;1;5;1;1;3;15;0;15;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/sendAddSuccessCallbacks;4.0.0;8;3;3;0;0;2;2;1;1;2;26;0;26;1;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/handleBookieFailure;4.0.0;30;6;6;0;2;2;8;3;1;6;88;5;93;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/processResult;4.0.0;13;3;2;0;4;1;1;1;1;5;45;1;46;2;Yes
Bookkeeper;/home/denni/isw2/bookkeeper/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerHandle.java/safeRun;4.0.0;9;3;2;0;0;1;3;1;1;4;32;0;32;2;Yes
