Project;Method;ReleaseID;LOC;CyclomaticComplexity;CognitiveComplexity;'Number of Smells';ParameterCount;NestingDepth;StatementCount;LocalVariableCount;ReturnTypeComplexity;MethodHistories;StmtAdded;StmtDeleted;Churn;DistinctAuthors;Bugginess
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serialize;0.9.0;22;5;5;1;1;2;9;7;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeSchema;0.9.0;19;6;6;1;2;2;7;2;1;1;2;2;4;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeTable;0.9.0;18;6;5;1;1;1;13;9;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializePrimaryKey;0.9.0;15;6;6;1;1;2;7;2;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeIndex;0.9.0;14;5;5;1;1;2;7;2;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeUnique;0.9.0;15;6;6;1;1;2;7;2;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeForeignKey;0.9.0;25;10;10;4;1;2;15;7;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeJoin;0.9.0;8;1;0;1;2;0;4;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java/serializeJoin;0.9.0;8;1;0;1;2;0;4;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/remove;0.9.0;17;5;4;1;0;1;12;8;1;2;15;0;15;2;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getColumns;0.9.0;15;4;5;2;0;3;2;3;2;1;5;0;5;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getAutoAssignedColumns;0.9.0;17;7;10;4;0;5;2;3;2;1;5;0;5;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getRelationIdColumns;0.9.0;17;7;10;4;0;5;2;3;2;1;2;0;2;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/importPrimaryKey;0.9.0;11;3;2;1;1;1;6;3;1;1;6;0;6;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getForeignKey;0.9.0;9;3;3;1;1;2;3;2;1;2;2;0;2;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getForeignKeys;0.9.0;15;4;5;2;0;3;2;3;2;1;6;0;6;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/importForeignKey;0.9.0;23;8;8;2;1;2;6;8;1;1;6;0;6;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getIndexes;0.9.0;7;3;2;2;0;1;2;0;2;1;1;1;2;1;Yes
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/importIndex;0.9.0;11;3;2;1;1;1;6;3;1;1;1;0;1;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getUniques;0.9.0;7;3;2;2;0;1;2;0;2;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/getUnique;0.9.0;8;3;3;1;1;2;3;2;1;1;4;0;4;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/importUnique;0.9.0;11;3;2;1;1;1;6;3;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/compareTo;0.9.0;10;4;3;1;1;1;6;2;1;1;7;0;7;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java/toString;0.9.0;2;1;0;1;0;0;1;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/remove;0.9.0;42;18;22;5;0;6;11;18;1;1;7;1;8;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/getDefault;0.9.0;65;28;4;3;0;1;4;0;1;1;6;0;6;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/setTarget;0.9.0;7;2;1;1;1;1;2;0;1;1;1;3;4;1;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/setTargetField;0.9.0;7;2;1;1;1;1;2;0;1;0;0;0;0;0;No
Openjpa;/home/denni/isw2/openjpa/openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Column.java/isCompatible;0.9.0;76;57;7;3;2;2;2;0;1;0;0;0;0;0;No
